feature_type,feature_id,feature_name,index,genome,num_barcodes,num_reads,num_umis,dup_frac,num_barcodes_cells,num_reads_cells,num_umis_cells,dup_frac_cells
Gene Expression,ENSG00000230699,AL645608.2,20,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000241180,AL645608.4,21,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000223764,LINC02593,22,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000187634,SAMD11,23,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000188976,NOC2L,24,GRCh38,786,3766,836,0.7780138077535848,766,3700,816,0.7794594594594595
Gene Expression,ENSG00000187961,KLHL17,25,GRCh38,29,91,29,0.6813186813186813,27,89,27,0.696629213483146
Gene Expression,ENSG00000187583,PLEKHN1,26,GRCh38,16,44,16,0.6363636363636364,16,44,16,0.6363636363636364
Gene Expression,ENSG00000187642,PERM1,27,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000272512,AL645608.7,28,GRCh38,9,25,9,0.64,9,25,9,0.64
Gene Expression,ENSG00000188290,HES4,29,GRCh38,237,1517,323,0.7870797626895187,225,1485,311,0.7905723905723906
Gene Expression,ENSG00000187608,ISG15,30,GRCh38,2073,20853,4217,0.7977749004939337,1964,20375,4095,0.7990184049079755
Gene Expression,ENSG00000224969,AL645608.1,31,GRCh38,43,113,45,0.6017699115044248,41,111,43,0.6126126126126126
Gene Expression,ENSG00000188157,AGRN,32,GRCh38,39,165,42,0.7454545454545455,37,160,40,0.75
Gene Expression,ENSG00000242590,AL645608.5,33,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000273443,AL645608.8,34,GRCh38,8,31,8,0.7419354838709677,8,31,8,0.7419354838709677
Gene Expression,ENSG00000237330,RNF223,35,GRCh38,1,3,1,0.6666666666666667,1,3,1,0.6666666666666667
Gene Expression,ENSG00000131591,C1orf159,36,GRCh38,139,576,141,0.7552083333333334,135,564,137,0.7570921985815603
Gene Expression,ENSG00000285812,AL390719.3,37,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000223823,LINC01342,38,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000272141,AL390719.2,39,GRCh38,1,3,1,0.6666666666666667,1,3,1,0.6666666666666667
Gene Expression,ENSG00000205231,TTLL10-AS1,40,GRCh38,2,15,2,0.8666666666666667,2,15,2,0.8666666666666667
Gene Expression,ENSG00000162571,TTLL10,41,GRCh38,5,25,5,0.8,5,25,5,0.8
Gene Expression,ENSG00000186891,TNFRSF18,42,GRCh38,249,1511,299,0.8021178027796161,238,1476,288,0.8048780487804879
Gene Expression,ENSG00000186827,TNFRSF4,43,GRCh38,264,1541,353,0.7709279688513953,247,1482,334,0.7746288798920378
Gene Expression,ENSG00000078808,SDF4,44,GRCh38,2062,13371,2535,0.8104105900830154,1976,13060,2449,0.8124808575803981
Gene Expression,ENSG00000176022,B3GALT6,45,GRCh38,53,185,53,0.7135135135135136,50,179,50,0.7206703910614525
Gene Expression,ENSG00000184163,C1QTNF12,46,GRCh38,27,94,27,0.7127659574468085,27,94,27,0.7127659574468085
Gene Expression,ENSG00000260179,AL162741.1,47,GRCh38,20,77,20,0.7402597402597403,20,77,20,0.7402597402597403
Gene Expression,ENSG00000160087,UBE2J2,48,GRCh38,722,3370,756,0.7756676557863501,698,3279,732,0.7767612076852699
Gene Expression,ENSG00000230415,LINC01786,49,GRCh38,1,9,1,0.8888888888888888,1,9,1,0.8888888888888888
Gene Expression,ENSG00000162572,SCNN1D,50,GRCh38,16,67,16,0.7611940298507462,15,63,15,0.7619047619047619
Gene Expression,ENSG00000131584,ACAP3,51,GRCh38,380,1494,391,0.7382864792503347,357,1424,366,0.7429775280898876
Gene Expression,ENSG00000169972,PUSL1,52,GRCh38,275,1333,281,0.7891972993248312,270,1324,276,0.7915407854984894
Gene Expression,ENSG00000127054,INTS11,53,GRCh38,1024,5301,1093,0.7938124882097717,990,5197,1059,0.7962285934192803
Gene Expression,ENSG00000240731,AL139287.1,54,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000224051,CPTP,55,GRCh38,210,1085,214,0.8027649769585253,202,1056,206,0.8049242424242424
Gene Expression,ENSG00000169962,TAS1R3,56,GRCh38,8,38,8,0.7894736842105263,7,37,7,0.8108108108108107
Gene Expression,ENSG00000107404,DVL1,57,GRCh38,93,353,94,0.7337110481586402,85,330,86,0.7393939393939394
Gene Expression,ENSG00000162576,MXRA8,58,GRCh38,28,145,31,0.7862068965517242,23,132,26,0.803030303030303
Gene Expression,ENSG00000175756,AURKAIP1,59,GRCh38,2883,20790,3875,0.8136123136123137,2770,20352,3758,0.8153498427672956
Gene Expression,ENSG00000221978,CCNL2,60,GRCh38,1170,5127,1296,0.7472205968402574,1124,4962,1249,0.7482869810560258
Gene Expression,ENSG00000224870,MRPL20-AS1,61,GRCh38,151,729,153,0.7901234567901234,146,706,148,0.7903682719546742
Gene Expression,ENSG00000242485,MRPL20,62,GRCh38,1525,8035,1722,0.7856876166770379,1465,7834,1662,0.7878478427367883
Gene Expression,ENSG00000272455,AL391244.2,63,GRCh38,5,10,5,0.5,5,10,5,0.5
Gene Expression,ENSG00000235098,ANKRD65,64,GRCh38,4,19,4,0.7894736842105263,3,18,3,0.8333333333333334
Gene Expression,ENSG00000225905,AL391244.1,65,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000205116,TMEM88B,66,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000225285,LINC01770,67,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000179403,VWA1,68,GRCh38,2,2,2,0.0,0,0,0,0.0
Gene Expression,ENSG00000215915,ATAD3C,69,GRCh38,16,68,16,0.7647058823529411,16,68,16,0.7647058823529411
Gene Expression,ENSG00000160072,ATAD3B,70,GRCh38,320,1113,334,0.6999101527403414,303,1055,316,0.7004739336492891
Gene Expression,ENSG00000197785,ATAD3A,71,GRCh38,213,769,220,0.7139141742522757,212,765,219,0.7137254901960784
Gene Expression,ENSG00000205090,TMEM240,72,GRCh38,1,6,1,0.8333333333333334,1,6,1,0.8333333333333334
Gene Expression,ENSG00000160075,SSU72,73,GRCh38,3364,20171,4500,0.7769074413762332,3252,19794,4384,0.7785187430534506
Gene Expression,ENSG00000215014,AL645728.1,74,GRCh38,172,809,177,0.7812113720642768,163,779,168,0.7843388960205392
Gene Expression,ENSG00000228594,FNDC10,75,GRCh38,59,253,59,0.766798418972332,56,248,56,0.7741935483870968
Gene Expression,ENSG00000286989,AL691432.4,76,GRCh38,5,25,5,0.8,5,25,5,0.8
Gene Expression,ENSG00000272106,AL691432.2,77,GRCh38,293,1377,300,0.7821350762527233,276,1327,283,0.7867370007535794
Gene Expression,ENSG00000197530,MIB2,78,GRCh38,820,4072,884,0.7829076620825147,795,3963,859,0.7832450164017158
Gene Expression,ENSG00000189409,MMP23B,79,GRCh38,111,545,116,0.7871559633027523,107,539,112,0.7922077922077921
Gene Expression,ENSG00000248333,CDK11B,80,GRCh38,763,1873,818,0.5632674853176722,736,1816,791,0.5644273127753303
Gene Expression,ENSG00000272004,FO704657.1,81,GRCh38,15,32,15,0.53125,14,30,14,0.5333333333333333
Gene Expression,ENSG00000189339,SLC35E2B,82,GRCh38,263,789,269,0.6590621039290241,254,771,260,0.6627756160830091
Gene Expression,ENSG00000008128,CDK11A,83,GRCh38,1682,6287,1921,0.6944488627326229,1616,6087,1853,0.6955807458518153
Gene Expression,ENSG00000215790,SLC35E2A,84,GRCh38,172,507,175,0.6548323471400395,165,484,168,0.6528925619834711
Gene Expression,ENSG00000008130,NADK,85,GRCh38,524,2128,571,0.7316729323308271,502,2057,549,0.7331064657267865
Gene Expression,ENSG00000078369,GNB1,86,GRCh38,1210,5498,1479,0.7309930883957803,1170,5368,1438,0.7321162444113264
Gene Expression,ENSG00000231050,AL109917.1,87,GRCh38,8,45,8,0.8222222222222222,8,45,8,0.8222222222222222
Gene Expression,ENSG00000169885,CALML6,88,GRCh38,3,8,3,0.625,3,8,3,0.625
Gene Expression,ENSG00000178821,TMEM52,89,GRCh38,9,52,11,0.7884615384615384,9,52,11,0.7884615384615384
Gene Expression,ENSG00000142609,CFAP74,90,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000233542,AL391845.2,91,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000187730,GABRD,92,GRCh38,5,11,5,0.5454545454545454,5,11,5,0.5454545454545454
Gene Expression,ENSG00000226969,AL391845.1,93,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000067606,PRKCZ,94,GRCh38,201,856,209,0.7558411214953271,194,837,202,0.7586618876941458
Gene Expression,ENSG00000271806,AL590822.2,95,GRCh38,68,336,69,0.7946428571428572,66,318,67,0.7893081761006289
Gene Expression,ENSG00000182873,PRKCZ-AS1,96,GRCh38,7,33,7,0.7878787878787878,7,33,7,0.7878787878787878
Gene Expression,ENSG00000162585,FAAP20,97,GRCh38,2602,16246,3371,0.7925027699125938,2501,15890,3266,0.7944619257394587
Gene Expression,ENSG00000234396,AL590822.1,98,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000157933,SKI,99,GRCh38,896,3624,1009,0.7215783664459161,874,3537,987,0.720949957591179
Gene Expression,ENSG00000287356,AL590822.3,100,GRCh38,55,245,55,0.7755102040816326,52,235,52,0.7787234042553192
Gene Expression,ENSG00000116151,MORN1,101,GRCh38,43,179,43,0.7597765363128491,40,167,40,0.7604790419161677
Gene Expression,ENSG00000272161,AL589739.1,102,GRCh38,2,14,2,0.8571428571428572,2,14,2,0.8571428571428572
Gene Expression,ENSG00000272420,AL513477.2,103,GRCh38,1,1,1,0.0,1,1,1,0.0
Gene Expression,ENSG00000157916,RER1,104,GRCh38,1141,5939,1303,0.7806027950833474,1105,5810,1266,0.7820998278829604
Gene Expression,ENSG00000157911,PEX10,105,GRCh38,191,914,197,0.7844638949671773,186,891,192,0.7845117845117845
Gene Expression,ENSG00000149527,PLCH2,106,GRCh38,94,389,96,0.7532133676092545,92,380,94,0.7526315789473684
Gene Expression,ENSG00000224387,AL139246.1,107,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000229393,AL139246.4,108,GRCh38,1,2,1,0.5,1,2,1,0.5
Gene Expression,ENSG00000157881,PANK4,109,GRCh38,134,428,135,0.6845794392523364,128,416,129,0.6899038461538461
Gene Expression,ENSG00000197921,HES5,110,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000272449,AL139246.5,111,GRCh38,530,2786,597,0.7857142857142857,519,2743,585,0.7867298578199052
Gene Expression,ENSG00000238164,TNFRSF14-AS1,112,GRCh38,87,329,88,0.7325227963525835,85,325,86,0.7353846153846153
Gene Expression,ENSG00000157873,TNFRSF14,113,GRCh38,3245,19484,4342,0.7771504824471361,3124,19052,4217,0.7786584085660297
Gene Expression,ENSG00000228037,AL139246.3,114,GRCh38,10,24,10,0.5833333333333333,10,24,10,0.5833333333333333
Gene Expression,ENSG00000157870,PRXL2B,115,GRCh38,74,330,74,0.7757575757575758,70,312,70,0.7756410256410257
Gene Expression,ENSG00000142606,MMEL1,116,GRCh38,26,108,28,0.7407407407407407,24,97,26,0.731958762886598
Gene Expression,ENSG00000237058,AL831784.1,117,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000215912,TTC34,118,GRCh38,3,8,3,0.625,3,8,3,0.625
Gene Expression,ENSG00000285945,AC242022.2,119,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000283259,AC242022.1,120,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000233234,AL592464.2,121,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000287396,AL592464.3,122,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000231630,AL592464.1,123,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000284745,AL589702.1,124,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000169717,ACTRT2,125,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000177133,PRDM16-DT,126,GRCh38,1,9,1,0.8888888888888888,1,9,1,0.8888888888888888
Gene Expression,ENSG00000142611,PRDM16,127,GRCh38,2,8,2,0.75,2,8,2,0.75
Gene Expression,ENSG00000226286,AL008733.1,128,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000272235,AL590438.1,129,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000287828,AL354743.2,130,GRCh38,3,4,3,0.25,3,4,3,0.25
Gene Expression,ENSG00000286518,AL354743.1,131,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000130762,ARHGEF16,132,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000272088,AL512413.1,133,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000162591,MEGF6,134,GRCh38,128,637,132,0.792778649921507,123,613,127,0.7928221859706363
Gene Expression,ENSG00000238260,AL513320.1,135,GRCh38,1,1,1,0.0,1,1,1,0.0
Gene Expression,ENSG00000158109,TPRG1L,136,GRCh38,248,1058,252,0.7618147448015122,242,1036,246,0.7625482625482626
Gene Expression,ENSG00000116213,WRAP73,137,GRCh38,416,1754,430,0.7548460661345496,407,1714,421,0.7543757292882147
Gene Expression,ENSG00000078900,TP73,138,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000227589,AL136528.1,139,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000235131,AL136528.2,140,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000162592,CCDC27,141,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000235169,SMIM1,142,GRCh38,104,562,107,0.8096085409252669,100,540,103,0.8092592592592592
Gene Expression,ENSG00000130764,LRRC47,143,GRCh38,579,2594,602,0.7679259830377795,563,2555,586,0.7706457925636008
Gene Expression,ENSG00000272153,AL365330.1,144,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000116198,CEP104,145,GRCh38,283,1250,286,0.7712,269,1201,272,0.7735220649458785
Gene Expression,ENSG00000169598,DFFB,146,GRCh38,56,238,57,0.7605042016806722,53,227,54,0.762114537444934
Gene Expression,ENSG00000198912,C1orf174,147,GRCh38,737,3617,779,0.7846281448714404,714,3529,756,0.7857750070841598
Gene Expression,ENSG00000236423,LINC01134,148,GRCh38,3,11,3,0.7272727272727273,3,11,3,0.7272727272727273
Gene Expression,ENSG00000233304,LINC01346,149,GRCh38,1,5,1,0.8,1,5,1,0.8
Gene Expression,ENSG00000226374,LINC01345,150,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000284668,LINC02780,151,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000284703,AL805961.1,152,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000235054,LINC01777,153,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000284694,AL355602.1,154,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000227169,Z98747.1,155,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000232596,LINC01646,156,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000196581,AJAP1,157,GRCh38,12,50,12,0.76,11,48,11,0.7708333333333334
Gene Expression,ENSG00000287586,Z98886.1,158,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000284739,BX005132.1,159,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000284674,LINC02781,160,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000231510,LINC02782,161,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000284616,AL139823.1,162,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000284692,Z98259.3,163,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000284666,Z98259.2,164,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000260972,Z98259.1,165,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000236948,AL365255.1,166,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000131697,NPHP4,167,GRCh38,46,177,46,0.7401129943502824,46,177,46,0.7401129943502824
Gene Expression,ENSG00000069424,KCNAB2,168,GRCh38,1711,8860,2210,0.7505643340857788,1652,8650,2150,0.7514450867052023
Gene Expression,ENSG00000116254,CHD5,169,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000116251,RPL22,170,GRCh38,10355,274516,85591,0.6882112518031736,8687,268406,83302,0.6896418112858878
Gene Expression,ENSG00000226944,AL031847.1,171,GRCh38,4,11,4,0.6363636363636364,4,11,4,0.6363636363636364
Gene Expression,ENSG00000158286,RNF207,172,GRCh38,2,5,2,0.6,2,5,2,0.6
Gene Expression,ENSG00000116237,ICMT,173,GRCh38,118,474,121,0.7447257383966245,113,463,116,0.7494600431965444
Gene Expression,ENSG00000225077,LINC00337,174,GRCh38,1,2,1,0.5,1,2,1,0.5
Gene Expression,ENSG00000173673,HES3,175,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000158292,GPR153,176,GRCh38,7,36,7,0.8055555555555556,7,36,7,0.8055555555555556
Gene Expression,ENSG00000097021,ACOT7,177,GRCh38,67,329,75,0.7720364741641337,65,322,73,0.7732919254658385
Gene Expression,ENSG00000271746,AL031848.2,178,GRCh38,42,225,43,0.8088888888888889,40,219,41,0.812785388127854
Gene Expression,ENSG00000069812,HES2,179,GRCh38,2,2,2,0.0,2,2,2,0.0
Gene Expression,ENSG00000187017,ESPN,180,GRCh38,23,69,23,0.6666666666666667,21,66,21,0.6818181818181819
Gene Expression,ENSG00000231868,AL031848.1,181,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000215788,TNFRSF25,182,GRCh38,612,3035,673,0.7782537067545305,583,2930,644,0.7802047781569966
Gene Expression,ENSG00000171680,PLEKHG5,183,GRCh38,13,37,13,0.6486486486486487,11,33,11,0.6666666666666667
Gene Expression,ENSG00000162408,NOL9,184,GRCh38,538,2765,557,0.7985533453887884,511,2631,530,0.798555682250095
Gene Expression,ENSG00000173662,TAS1R1,185,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000204859,ZBTB48,186,GRCh38,258,1084,258,0.7619926199261993,250,1058,250,0.7637051039697542
Gene Expression,ENSG00000162413,KLHL21,187,GRCh38,405,1545,426,0.7242718446601941,389,1518,410,0.7299077733860342
Gene Expression,ENSG00000116273,PHF13,188,GRCh38,86,395,92,0.7670886075949367,80,372,86,0.7688172043010753
Gene Expression,ENSG00000041988,THAP3,189,GRCh38,294,1334,305,0.7713643178410794,281,1289,292,0.7734678044996122
Gene Expression,ENSG00000007923,DNAJC11,190,GRCh38,236,946,240,0.7463002114164905,226,918,230,0.7494553376906319
Gene Expression,ENSG00000228750,LINC01672,191,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000284744,AL591163.1,192,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000237436,CAMTA1-DT,193,GRCh38,8,17,8,0.5294117647058824,8,17,8,0.5294117647058824
Gene Expression,ENSG00000171735,CAMTA1,194,GRCh38,2732,12072,3444,0.7147117296222665,2645,11825,3355,0.7162790697674419
Gene Expression,ENSG00000237365,AL512330.1,195,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000237402,CAMTA1-IT1,196,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000237728,Z97987.1,197,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000225126,AL365194.1,198,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000270171,AL359881.3,199,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000270035,AL359881.2,200,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000269978,AL359881.1,201,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000049245,VAMP3,202,GRCh38,1791,8534,2244,0.7370517928286853,1727,8330,2177,0.738655462184874
Gene Expression,ENSG00000269925,Z98884.2,203,GRCh38,3,7,3,0.5714285714285714,3,7,3,0.5714285714285714
Gene Expression,ENSG00000049246,PER3,204,GRCh38,115,550,119,0.7836363636363637,109,528,113,0.7859848484848485
Gene Expression,ENSG00000236266,Z98884.1,205,GRCh38,1,1,1,0.0,0,0,0,0.0
Gene Expression,ENSG00000049247,UTS2,206,GRCh38,15,44,15,0.6590909090909092,14,43,14,0.6744186046511628
Gene Expression,ENSG00000049249,TNFRSF9,207,GRCh38,60,218,61,0.7201834862385321,55,210,56,0.7333333333333334
Gene Expression,ENSG00000116288,PARK7,208,GRCh38,3676,23390,5344,0.7715262932877298,3478,22811,5143,0.7745385997983429
Gene Expression,ENSG00000284747,AL034417.4,209,GRCh38,1,6,1,0.8333333333333334,1,6,1,0.8333333333333334
Gene Expression,ENSG00000284716,AL034417.3,210,GRCh38,1,1,1,0.0,1,1,1,0.0
Gene Expression,ENSG00000116285,ERRFI1,211,GRCh38,146,586,159,0.7286689419795223,134,545,147,0.7302752293577981
Gene Expression,ENSG00000238290,AL034417.2,212,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000227634,LINC01714,213,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000233645,AL358876.2,214,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000162426,SLC45A1,215,GRCh38,38,209,39,0.8133971291866029,36,196,37,0.8112244897959184
Gene Expression,ENSG00000142599,RERE,216,GRCh38,770,3349,842,0.7485816661690057,751,3275,823,0.7487022900763358
Gene Expression,ENSG00000232912,RERE-AS1,217,GRCh38,22,37,22,0.4054054054054054,22,37,22,0.4054054054054054
Gene Expression,ENSG00000228423,AL357552.2,218,GRCh38,1,1,1,0.0,1,1,1,0.0
Gene Expression,ENSG00000074800,ENO1,219,GRCh38,3620,27265,6715,0.7537135521731158,3412,26661,6499,0.7562357000862683
Gene Expression,ENSG00000230679,ENO1-AS1,220,GRCh38,35,103,35,0.6601941747572815,32,90,32,0.6444444444444444
Gene Expression,ENSG00000131686,CA6,221,GRCh38,5,17,5,0.7058823529411764,5,17,5,0.7058823529411764
Gene Expression,ENSG00000197241,SLC2A7,222,GRCh38,1,2,1,0.5,1,2,1,0.5
Gene Expression,ENSG00000142583,SLC2A5,223,GRCh38,17,70,17,0.7571428571428571,15,68,15,0.7794117647058824
Gene Expression,ENSG00000180758,GPR157,224,GRCh38,67,335,70,0.791044776119403,64,326,67,0.7944785276073619
Gene Expression,ENSG00000228526,MIR34AHG,225,GRCh38,1,2,1,0.5,1,2,1,0.5
Gene Expression,ENSG00000234546,LNCTAM34A,226,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000049239,H6PD,227,GRCh38,278,1221,284,0.7674037674037674,269,1193,275,0.7694886839899413
Gene Expression,ENSG00000171621,SPSB1,228,GRCh38,51,204,52,0.7450980392156863,48,193,49,0.7461139896373057
Gene Expression,ENSG00000284652,BX323043.1,229,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000284693,LINC02606,230,GRCh38,2,20,2,0.9,2,20,2,0.9
Gene Expression,ENSG00000235263,AL928921.1,231,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000171612,SLC25A33,232,GRCh38,1487,8800,1836,0.7913636363636364,1437,8616,1783,0.7930594243268339
Gene Expression,ENSG00000188807,TMEM201,233,GRCh38,84,345,85,0.7536231884057971,83,342,84,0.7543859649122807
Gene Expression,ENSG00000171608,PIK3CD,234,GRCh38,1212,4877,1350,0.7231904859544802,1169,4731,1306,0.7239484252800676
Gene Expression,ENSG00000179840,PIK3CD-AS1,235,GRCh38,15,56,15,0.7321428571428572,15,56,15,0.7321428571428572
Gene Expression,ENSG00000231789,PIK3CD-AS2,236,GRCh38,36,169,37,0.7810650887573964,35,168,36,0.7857142857142857
Gene Expression,ENSG00000171603,CLSTN1,237,GRCh38,628,2844,656,0.7693389592123769,606,2753,634,0.7697057755176171
Gene Expression,ENSG00000178585,CTNNBIP1,238,GRCh38,824,4241,941,0.778118368309361,805,4158,922,0.7782587782587782
Gene Expression,ENSG00000223989,AL357140.1,239,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000285701,AL357140.4,240,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000162441,LZIC,241,GRCh38,577,2426,601,0.7522671063478978,552,2368,576,0.7567567567567568
Gene Expression,ENSG00000228150,AL357140.2,242,GRCh38,2,2,2,0.0,2,2,2,0.0
Gene Expression,ENSG00000173614,NMNAT1,243,GRCh38,26,100,26,0.74,24,98,24,0.7551020408163265
